address,port,country,city,speed,type,anonymity
198.199.120.102,3128,United States  New York,,1060 ms,HTTP,High
138.68.41.90,8080,United States  New York,,800 ms,HTTP,High
70.169.150.186,48678,United States  Portsmouth,,3500 ms,HTTP,No
103.20.189.126,3128,Indonesia  Medan,,1940 ms,HTTP,No
84.201.254.47,3128,Russian Federation  Izhevsk,,180 ms,HTTPS,High
74.117.153.203,8080,United States  Houston,,1360 ms,"HTTP, HTTPS",No
195.98.79.117,8080,Russian Federation  Voronezh,,5100 ms,HTTP,Medium
78.130.145.167,40406,Bulgaria  Plovdiv,,1700 ms,HTTP,High
144.91.112.81,3128,Germany  Nuremberg,,4680 ms,HTTPS,High
144.91.116.171,8080,Germany  Nuremberg,,4480 ms,"HTTP, HTTPS",Medium
64.225.24.13,3128,United States  Clifton,,1060 ms,"HTTP, HTTPS",No
103.82.219.85,3128,Hong Kong,,920 ms,"HTTP, HTTPS",No
187.130.75.77,3128,Mexico  Puebla City,,1880 ms,HTTP,Medium
193.193.71.178,43857,,,4540 ms,HTTP,High
94.41.208.146,8080,Russian Federation  Sterlitamak,,3480 ms,HTTP,High
91.202.240.208,51678,Ukraine  Lviv,,3080 ms,HTTP,High
89.216.48.230,44061,Serbia  Novi Sad,,5100 ms,HTTP,High
93.145.17.218,8080,Italy  Piombino,,3700 ms,HTTP,No
109.206.131.197,3128,Russian Federation  Moscow,,4420 ms,HTTP,No
46.235.53.26,3128,Russian Federation  Moscow,,3100 ms,HTTP,High
1.0.0.167,80,Australia  Parafield Gardens,,260 ms,HTTP,No
1.0.0.122,80,Australia  Stirling,,340 ms,HTTP,No
1.0.0.244,80,Australia  Stirling,,340 ms,HTTP,No
1.0.0.188,80,Australia  Parafield Gardens,,320 ms,HTTP,No
1.0.0.153,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.247,80,Australia  Parafield Gardens,,240 ms,HTTP,No
1.0.0.183,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.124,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.145,80,Australia  Parafield Gardens,,260 ms,HTTP,No
1.0.0.141,80,Australia  Parafield Gardens,,320 ms,HTTP,No
1.0.0.114,80,Australia  Parafield Gardens,,320 ms,HTTP,No
1.0.0.57,80,Australia  Stirling,,340 ms,HTTP,No
1.0.0.95,80,Australia  Stirling,,260 ms,HTTP,No
1.0.0.108,80,Australia  Stirling,,340 ms,HTTP,No
1.0.0.110,80,Australia  Stirling,,540 ms,HTTP,No
1.0.0.139,80,Australia  Stirling,,260 ms,HTTP,No
1.0.0.159,80,Australia  Stirling,,340 ms,HTTP,No
1.0.0.165,80,Australia  Stirling,,360 ms,HTTP,No
1.0.0.225,80,Australia  Stirling,,340 ms,HTTP,No
1.0.0.243,80,Australia  Stirling,,660 ms,HTTP,No
5.252.161.48,8080,United Kingdom,,260 ms,HTTP,High
5.252.161.48,3128,United Kingdom,,260 ms,HTTP,High
154.16.202.22,8080,Germany  Frankfurt am Main,,200 ms,HTTP,High
195.140.162.188,8080,Ukraine  Dnipro,,120 ms,HTTP,High
95.141.193.14,80,Russian Federation,,0 ms,HTTP,High
45.186.60.6,8085,Brazil  Umuarama,,4820 ms,HTTP,No
177.38.76.153,8080,Brazil  São Paulo,,5100 ms,HTTP,No
103.111.53.75,8083,Indonesia,,5100 ms,HTTP,No
186.220.249.23,8080,Brazil  São Paulo,,5100 ms,HTTP,No
103.232.33.49,8080,Indonesia  Jakarta,,3760 ms,HTTP,No
200.111.182.6,443,Chile  Talca,,4260 ms,HTTP,No
182.52.90.117,45535,Thailand  Bangkok,,3460 ms,HTTP,High
186.192.98.250,8080,Brazil  Goianesia,,3780 ms,HTTP,No
181.129.104.226,999,Colombia  Medellín,,2460 ms,HTTP,No
1.0.0.22,80,Australia  Parafield Gardens,,360 ms,HTTP,No
120.132.53.12,8888,China  Beijing,,880 ms,HTTP,High
118.69.50.154,80,Vietnam  Ho Chi Minh City,,1020 ms,HTTP,Low
154.73.65.90,45691,Tanzania,,5100 ms,HTTP,High
120.132.52.81,8888,China  Beijing,,860 ms,HTTP,High
120.132.53.15,8888,China  Beijing,,860 ms,HTTP,High
139.162.18.88,8080,Singapore  Singapore,,940 ms,HTTP,No
120.132.52.225,8888,China  Beijing,,880 ms,HTTP,High
120.132.52.139,8888,China  Beijing,,880 ms,HTTP,High
139.59.99.119,8080,India  Bengaluru,,1500 ms,HTTP,High
203.202.245.62,80,Bangladesh,,1020 ms,HTTP,Low
157.245.224.29,3128,United States  Santa Clara,,4540 ms,HTTPS,High
125.209.73.170,3128,Pakistan  Lahore,,920 ms,"HTTP, HTTPS",High
117.102.9.12,3128,Pakistan,,900 ms,HTTP,High
212.220.115.246,8081,Russian Federation  Ekaterinburg,,4160 ms,HTTP,No
80.254.126.161,3128,Russian Federation  Rostov-on-Don,,1720 ms,HTTP,No
195.9.61.22,37489,Russian Federation  Moscow,,4380 ms,HTTP,High
212.220.216.70,8080,Russian Federation,,2340 ms,HTTP,High
62.33.207.196,3128,Russian Federation  Mikhaylovsk,,360 ms,HTTP,No
207.154.231.211,3128,Germany  Frankfurt am Main,,3640 ms,HTTP,High
207.154.231.217,8080,Germany  Frankfurt am Main,,760 ms,HTTP,High
46.4.96.137,8080,Germany,,720 ms,HTTP,High
82.196.11.105,3128,Netherlands  Amsterdam,,360 ms,HTTP,High
162.243.108.141,8080,United States  New York,,1300 ms,HTTP,High
207.154.231.212,8080,Germany  Frankfurt am Main,,620 ms,HTTP,High
207.154.231.212,3128,United States  New York,,640 ms,HTTP,High
176.9.119.170,3128,Germany,,720 ms,HTTP,High
207.154.231.213,8080,Germany  Frankfurt am Main,,340 ms,HTTP,High
88.198.50.103,8080,Germany  Nuremberg,,320 ms,HTTP,High
89.42.133.58,8080,Romania,,2720 ms,HTTP,High
182.16.59.156,808,Hong Kong  Cheung Sha Wan,,5100 ms,HTTPS,High
88.199.21.76,80,Poland  Krotoszyn,,380 ms,HTTP,No
188.226.141.61,3128,Netherlands,,3080 ms,HTTP,High
167.172.191.252,8118,Germany  Frankfurt am Main,,4300 ms,HTTP,High
88.198.24.108,8080,Germany  Nuremberg,,3360 ms,HTTP,High
46.4.96.137,3128,Germany,,640 ms,HTTP,High
188.226.141.211,3128,Netherlands,,940 ms,HTTP,High
177.91.254.131,8080,Peru  Lima,,5100 ms,HTTP,No
172.104.40.202,8080,Singapore  Singapore,,1580 ms,HTTP,No
1.0.0.65,80,Australia  Parafield Gardens,,5100 ms,HTTP,No
167.71.44.152,8118,Germany  Frankfurt am Main,,440 ms,HTTPS,High
1.0.0.21,80,Australia  Parafield Gardens,,320 ms,HTTP,No
1.0.0.192,80,Australia  Stirling,,360 ms,HTTP,No
1.0.0.186,80,Australia  Parafield Gardens,,340 ms,HTTP,No
177.136.185.200,80,Brazil  Olindina,,2880 ms,HTTP,No
1.0.0.98,80,Australia  Stirling,,340 ms,HTTP,No
1.0.0.219,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.206,80,Australia  Parafield Gardens,,320 ms,HTTP,No
1.0.0.53,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.184,80,Australia  Parafield Gardens,,1340 ms,HTTP,No
1.0.0.223,80,Australia  Parafield Gardens,,360 ms,HTTP,No
1.0.0.148,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.207,80,Australia  Stirling,,460 ms,HTTP,No
1.0.0.154,80,Australia  Parafield Gardens,,320 ms,HTTP,No
1.0.0.150,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.63,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.191,80,Australia  Parafield Gardens,,520 ms,HTTP,No
1.0.0.127,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.45,80,Australia  Parafield Gardens,,340 ms,HTTP,No
1.0.0.49,80,Australia  Stirling,,340 ms,HTTP,No
144.217.163.138,3128,Canada  Beauharnois,,1660 ms,HTTP,High
176.9.75.42,3128,Germany,,740 ms,HTTP,High
203.202.245.58,80,Bangladesh,,5100 ms,HTTP,Low
139.59.53.105,3128,India  Bengaluru,,840 ms,HTTP,High
144.217.163.138,8080,Canada  Beauharnois,,720 ms,HTTP,High
176.9.75.42,8080,Germany,,2060 ms,HTTP,High
207.154.231.213,3128,United States  New York,,340 ms,HTTP,High
88.198.24.108,3128,Germany  Nuremberg,,320 ms,HTTP,High
190.25.189.178,8080,Colombia,,1280 ms,HTTPS,High
131.255.11.122,8080,Brazil  Manaus,,2420 ms,HTTP,No
